gene,p_value
A1BG,0.4811821278007802
A1CF,0.9396985585456348
A2ML1,0.5759947384342547
A2M,0.719134039311386
A3GALT2,0.5638007127273503
A4GALT,0.8070904508909154
A4GNT,1.0467712260562297e-116
AAAS,0.6825077116091975
AACS,0.16912484431877378
AADACL2,0.0
AADACL3,2.510130619096631e-05
AADACL4,0.0
AADAT,0.0037444141470817827
AAED1,1.637586929518106e-23
AAGAB,0.8365679852991705
AAK1,0.6195038519836531
AAMDC,0.48184002482144084
AAMP,0.6913604936525569
AAR2,0.4997739245704481
AARD,0.44057232247409017
AARS2,2.136391183153521e-85
AARSD1,0.6733163531106983
AARS,0.976565900579309
AASDHPPT,3.9156958861433065e-07
AASDH,0.6772479170635338
AASS,7.101854278406918e-07
AATF,0.7216867469636128
AATK,0.645189320284076
ABAT,0.6043476953940172
ABCA12,0.25298670036946025
ABCA1,0.5155175612708265
ABCA3,8.518890046876989e-83
ABCA4,0.8719891983205125
ABCA5,0.6851426790472517
ABCA6,0.6656879057256903
ABCA7,2.064483695615282e-05
ABCB10,0.9253149642910531
ABCB11,0.45247633751376604
ABCB1,0.605919522738342
ABCB4,0.6275942427594388
ABCB5,3.027754219211242e-150
ABCB6,0.49875008823938205
ABCB7,0.3116357836280096
ABCB8,0.38124273360328553
ABCB9,0.04690452205158167
ABCC10,0.10534204745059196
ABCC11,1.653032806255457e-06
ABCC12,1.1442353846514757e-207
ABCC1,0.6977566796377058
ABCC2,0.5157903258311634
ABCC3,0.9669208458168601
ABCC4,0.953617066911661
ABCC5,0.05722912391022745
ABCC6,0.5640347891408366
ABCC8,0.5118883348671153
ABCC9,0.5451503241537102
ABCD1,0.3116357836280096
ABCD2,0.8100272192690721
ABCD3,3.985582965175789e-08
ABCD4,0.5013652762670867
ABCE1,0.5733888586789945
ABCF1,0.7891948758797847
ABCF2,0.8701004555875727
ABCF3,2.012848297276881e-09
ABCG1,0.4618277925122718
ABCG2,0.9957946122030249
ABCG4,0.4811821278007802
ABCG5,0.45137493361213155
ABCG8,0.5673859878370889
ABHD10,0.6555063214872123
ABHD11,0.8276030788075286
ABHD12B,0.7884427978517996
ABHD12,0.3616612900795445
ABHD13,0.9081975384882859
ABHD14A,0.9014964766703066
ABHD14B,0.7748120230493434
ABHD15,1.8198550839351591e-44
ABHD16A,0.008179617455519306
ABHD16B,0.1477991807676868
ABHD17A,0.9474011220151758
ABHD17B,0.6335291209724134
ABHD17C,0.5421036039352736
ABHD18,3.5515127566413403e-13
ABHD1,0.7748120230493434
ABHD2,0.9460565213743183
ABHD3,0.6663489569750343
ABHD4,0.9145108615897866
ABHD5,0.003161187331324334
ABHD6,0.7132023796489253
ABHD8,0.17398108426546516
ABI1,0.427929198939352
ABI2,0.3928143073419399
ABI3BP,0.5178550729035418
ABL1,0.8906969025729109
ABL2,0.46899991237420835
ABLIM1,0.10908808624503835
ABLIM2,0.8524608237796887
ABLIM3,0.7372564206419775
ABO,0.5840173698717612
ABRACL,0.770629893023398
ABRA,0.271392585839144
ABRAXAS1,1.3166711622979298e-19
ABRAXAS2,0.4046381740032754
ABR,0.01112368602262037
ABT1,0.09847793271242825
ABTB1,0.838516876394374
ABTB2,0.47693139965248965
ACAA1,0.7765947985527024
ACAA2,0.7400366191647914
ACACA,0.6188938558576902
ACACB,0.8736828433478724
ACAD10,8.518890046876989e-83
ACAD11,1.4475372967816444e-28
ACAD8,1.2509943093678896e-17
ACAD9,0.23239902855537098
ACADL,0.3570952307157974
ACADM,0.22214323290950552
ACADSB,0.546097698501559
ACADS,0.7070582090911395
ACADVL,0.969381374734602
ACAN,0.42882521714706867
ACAP1,0.9394962747935734
ACAP2,5.432221929230847e-24
ACAP3,0.8129434986147088
ACAT1,0.6755646039791194
ACAT2,0.4796401144031037
ACBD3,0.04299988438918496
ACBD4,0.9394962747935734
ACBD5,0.38365044570858486
ACBD6,5.595977549616541e-240
ACBD7,0.45614663590684323
ACCSL,0.13709965640074367
ACCS,0.28925084661231637
ACD,1.3744587184631783e-06
ACE2,0.3116357836280096
ACER1,0.013316355476257693
